CPF,codicao_socioeconomica,regiao_geografica,posicao_politica,religiao
89117928423,classe media,norte,direita,catolico
94678345790,classe alta,centro oeste,centro,espirita
32942321439,classe baixa,sul,direita,espirita
61853599098,classe media,norte,direita,espirita
83708808993,classe media,centro oeste,centro,catolico
69976835376,classe media,norte,centro,judeu
79204151108,classe media,norte,esquerda,judeu
44213607723,classe media,centro oeste,esquerda,budista
98994727192,classe baixa,norte,esquerda,espirita
70478224673,classe baixa,sul,direita,catolico
89627319694,classe baixa,nordeste,esquerda,budista
43248040147,classe baixa,nordeste,centro,judeu
11984276068,classe alta,norte,esquerda,catolico
48597729433,classe baixa,sul,direita,judeu
93388618296,classe media,sul,centro,budista
78091965375,classe alta,sudeste,direita,catolico
58437531980,classe baixa,centro oeste,direita,espirita
83996547443,classe baixa,centro oeste,esquerda,budista
59596297781,classe media,sul,centro,espirita
52214294895,classe media,centro oeste,esquerda,budista
41559072210,classe alta,nordeste,esquerda,espirita
90325598644,classe alta,sudeste,centro,espirita
57591389892,classe baixa,nordeste,esquerda,espirita
23235884647,classe baixa,sudeste,esquerda,judeu
77482036995,classe alta,centro oeste,esquerda,judeu
74138316237,classe baixa,sudeste,esquerda,judeu
86184621416,classe media,sudeste,centro,budista
36368391206,classe media,sul,centro,espirita
52555703602,classe alta,centro oeste,esquerda,espirita
42215331612,classe alta,sudeste,direita,catolico
76969934265,classe media,sul,direita,budista
12490418454,classe baixa,centro oeste,esquerda,budista
90427362757,classe media,sul,direita,espirita
16146440561,classe alta,sudeste,esquerda,judeu
22929860470,classe alta,centro oeste,direita,espirita
92281989969,classe baixa,centro oeste,esquerda,catolico
54089335035,classe media,sudeste,esquerda,espirita
83428529323,classe alta,centro oeste,direita,budista
32023995321,classe media,nordeste,direita,judeu
55556397156,classe baixa,norte,direita,budista
79492958377,classe alta,norte,direita,judeu
12698252232,classe alta,nordeste,esquerda,budista
57043535767,classe baixa,norte,direita,judeu
32296365611,classe alta,sul,centro,judeu
57863853727,classe media,sudeste,direita,judeu
43632053132,classe alta,sul,direita,espirita
16624455002,classe alta,sul,esquerda,judeu
62240664518,classe baixa,nordeste,direita,catolico
93499040069,classe alta,sul,esquerda,catolico
93589365282,classe baixa,sul,esquerda,judeu
84485045332,classe alta,sudeste,direita,judeu
79098283469,classe media,sudeste,esquerda,espirita
48588629915,classe baixa,norte,centro,catolico
36782708697,classe media,norte,centro,catolico
91046725197,classe baixa,nordeste,esquerda,espirita
23897966152,classe alta,sudeste,esquerda,espirita
46105113532,classe media,centro oeste,centro,budista
68818455769,classe media,centro oeste,direita,budista
77231865952,classe media,norte,esquerda,judeu
83437857718,classe media,sudeste,centro,judeu
62193965109,classe alta,centro oeste,centro,espirita
49950355605,classe baixa,centro oeste,centro,judeu
15247252732,classe alta,norte,centro,catolico
84409204009,classe media,centro oeste,direita,budista
23641706075,classe alta,norte,centro,judeu
24104354860,classe media,sul,direita,catolico
41118202255,classe media,centro oeste,esquerda,espirita
18912887203,classe baixa,norte,centro,espirita
40167346507,classe baixa,centro oeste,direita,judeu
25037651631,classe alta,sul,direita,catolico
26089253311,classe alta,nordeste,direita,espirita
35071898329,classe media,sul,centro,catolico
94490022154,classe baixa,nordeste,direita,judeu
79983176412,classe baixa,sudeste,centro,catolico
30314533415,classe alta,sudeste,esquerda,catolico
72271692613,classe media,nordeste,esquerda,espirita
13861168968,classe baixa,centro oeste,esquerda,espirita
96459503909,classe alta,nordeste,esquerda,budista
42559321441,classe baixa,nordeste,esquerda,budista
60887641491,classe media,centro oeste,centro,judeu
61278212047,classe media,sul,esquerda,catolico
67879274896,classe alta,centro oeste,direita,catolico
14252330351,classe media,norte,centro,catolico
76808966247,classe media,sul,esquerda,espirita
36438577882,classe baixa,sudeste,centro,budista
31979738305,classe baixa,nordeste,centro,budista
72977334718,classe baixa,centro oeste,direita,catolico
82073117576,classe baixa,nordeste,direita,budista
36184300471,classe baixa,nordeste,direita,espirita
33971307169,classe media,sudeste,direita,budista
18905110281,classe alta,nordeste,esquerda,budista
28532780522,classe media,norte,esquerda,judeu
68275889675,classe alta,centro oeste,direita,budista
19347307705,classe media,sul,direita,catolico
29736124572,classe media,norte,centro,espirita
97679010078,classe media,sudeste,direita,espirita
24443658402,classe alta,sul,direita,catolico
22834131654,classe alta,sudeste,centro,espirita
32371831850,classe media,nordeste,esquerda,budista
89400121083,classe baixa,sul,esquerda,espirita
27405998304,classe alta,nordeste,centro,budista
53841202763,classe alta,norte,esquerda,judeu
43995613095,classe alta,sul,centro,catolico
56619776863,classe alta,sudeste,esquerda,budista
48772459457,classe baixa,nordeste,centro,espirita
57836386701,classe baixa,centro oeste,centro,budista
31986178143,classe baixa,nordeste,centro,espirita
45454538273,classe media,norte,centro,espirita
67065139020,classe media,nordeste,direita,espirita
92777655713,classe alta,sul,direita,budista
68981406173,classe media,sudeste,direita,judeu
26917341966,classe baixa,sul,direita,judeu
57213455587,classe media,nordeste,centro,judeu
79012150531,classe alta,norte,centro,catolico
81793457161,classe media,sul,centro,catolico
20163687688,classe media,norte,direita,judeu
85962774413,classe alta,centro oeste,direita,budista
79527887063,classe baixa,norte,centro,espirita
68301102245,classe baixa,sul,direita,judeu
47541494406,classe alta,norte,centro,judeu
56964766554,classe media,nordeste,direita,espirita
10924220057,classe baixa,norte,centro,judeu
96310880795,classe media,nordeste,centro,espirita
94362450164,classe baixa,sul,esquerda,espirita
67007165990,classe alta,norte,centro,judeu
19722977423,classe baixa,nordeste,esquerda,judeu
90165218922,classe media,centro oeste,centro,budista
89299295457,classe media,nordeste,centro,espirita
18497934270,classe baixa,sudeste,centro,budista
56585982336,classe baixa,nordeste,centro,espirita
65884187518,classe alta,nordeste,centro,catolico
60083383010,classe alta,sudeste,centro,judeu
46156254740,classe media,sul,centro,judeu
72289746896,classe alta,centro oeste,centro,espirita
63420432974,classe baixa,sul,centro,budista
16061256199,classe baixa,sudeste,direita,budista
47312498966,classe media,sul,direita,judeu
65895545446,classe baixa,centro oeste,direita,budista
67203369586,classe baixa,nordeste,centro,espirita
68856183353,classe baixa,centro oeste,centro,catolico
66005889273,classe baixa,sul,centro,budista
81612641328,classe baixa,centro oeste,esquerda,judeu
76452745797,classe baixa,sul,direita,judeu
98453435336,classe alta,sul,esquerda,judeu
62931567587,classe alta,norte,esquerda,budista
40500852632,classe media,nordeste,esquerda,budista
47304352521,classe media,centro oeste,centro,espirita
88080862915,classe media,centro oeste,centro,judeu
46705877620,classe media,sul,direita,judeu
80042276938,classe media,sul,centro,espirita
96129975073,classe alta,centro oeste,centro,judeu
26453841389,classe alta,norte,direita,catolico
63019566815,classe media,sudeste,esquerda,espirita
62078777108,classe alta,sul,esquerda,judeu
26000824500,classe baixa,nordeste,direita,espirita
87404151218,classe baixa,centro oeste,centro,catolico
92901313200,classe baixa,sudeste,direita,catolico
65921489334,classe baixa,sul,direita,espirita
41242636528,classe media,centro oeste,direita,espirita
56050479826,classe media,sudeste,direita,judeu
37831936881,classe baixa,sudeste,direita,judeu
60847735185,classe media,norte,centro,catolico
13956420321,classe baixa,sul,esquerda,budista
17395061563,classe alta,sul,esquerda,espirita
84614076737,classe baixa,centro oeste,direita,espirita
34163787978,classe alta,nordeste,centro,judeu
52878661783,classe media,centro oeste,centro,espirita
94467269112,classe alta,sudeste,centro,budista
21645482894,classe alta,sul,centro,judeu
54474531006,classe media,nordeste,direita,espirita
21643430717,classe baixa,centro oeste,centro,budista
88485346852,classe alta,centro oeste,esquerda,espirita
46490803127,classe media,sul,centro,judeu
81989408527,classe baixa,sudeste,centro,judeu
76792079177,classe alta,norte,centro,espirita
75669878179,classe alta,sul,direita,espirita
76252751960,classe alta,norte,centro,judeu
23734699326,classe baixa,norte,centro,catolico
17573869446,classe baixa,centro oeste,centro,catolico
56703542632,classe media,norte,direita,espirita
11282539446,classe baixa,nordeste,esquerda,judeu
32242275436,classe alta,nordeste,direita,espirita
98163894749,classe alta,nordeste,centro,espirita
77220423795,classe alta,centro oeste,esquerda,budista
52536352066,classe baixa,centro oeste,esquerda,judeu
65141784511,classe media,norte,esquerda,budista
62385701743,classe alta,norte,centro,budista
47340312216,classe alta,centro oeste,centro,espirita
41256880109,classe alta,sudeste,direita,espirita
84473797668,classe media,sul,centro,espirita
92889287056,classe baixa,nordeste,centro,budista
13491049375,classe baixa,norte,centro,judeu
54500260090,classe media,sudeste,direita,catolico
53127803599,classe media,nordeste,direita,budista
33564686460,classe alta,centro oeste,direita,judeu
12067562928,classe media,centro oeste,centro,budista
51257938145,classe alta,sudeste,direita,catolico
51893997950,classe alta,norte,direita,budista
27978613884,classe baixa,sudeste,centro,judeu
82105012151,classe media,norte,direita,judeu
74987761812,classe media,centro oeste,esquerda,judeu
83991871954,classe alta,nordeste,direita,espirita
78556800408,classe alta,sudeste,centro,judeu
55470079890,classe baixa,sul,direita,budista
45553776409,classe media,norte,direita,espirita
60640594422,classe baixa,sul,esquerda,judeu
61464805426,classe alta,sul,esquerda,budista
21866150690,classe baixa,nordeste,esquerda,catolico
22328437972,classe alta,centro oeste,centro,espirita
84203724954,classe alta,sudeste,centro,budista
14356093968,classe media,centro oeste,centro,budista
43319652360,classe alta,norte,esquerda,espirita
15857999203,classe baixa,nordeste,centro,espirita
95040684621,classe media,sudeste,centro,judeu
32730934119,classe baixa,centro oeste,direita,catolico
88476286485,classe baixa,sul,direita,espirita
82438245365,classe alta,sudeste,direita,catolico
83259338938,classe alta,centro oeste,centro,espirita
59967230380,classe media,norte,centro,espirita
18660369114,classe baixa,sul,centro,catolico
54298690698,classe alta,norte,direita,catolico
82343614515,classe media,centro oeste,esquerda,espirita
72607279448,classe alta,nordeste,direita,judeu
88373085737,classe media,nordeste,direita,catolico
94874860619,classe media,norte,esquerda,catolico
14685966849,classe media,sudeste,centro,budista
35634132470,classe alta,sudeste,direita,budista
95510158095,classe media,nordeste,direita,catolico
40204007739,classe media,norte,esquerda,espirita
73475804090,classe media,sul,esquerda,judeu
62093595618,classe alta,sudeste,centro,catolico
15233948975,classe alta,nordeste,esquerda,budista
59750958566,classe media,sudeste,esquerda,catolico
27707709721,classe media,centro oeste,esquerda,judeu
43480190455,classe alta,centro oeste,centro,budista
72348080730,classe alta,nordeste,direita,catolico
82872952039,classe media,nordeste,direita,espirita
38389848475,classe baixa,sul,esquerda,budista
43021840119,classe alta,sul,direita,espirita
73883510027,classe media,sudeste,esquerda,budista
57665890055,classe media,centro oeste,esquerda,budista
40136049451,classe baixa,sudeste,centro,espirita
85810227247,classe alta,sul,direita,catolico
27160078408,classe media,norte,direita,judeu
21791278479,classe alta,sul,esquerda,budista
30914828921,classe media,nordeste,centro,budista
80951794920,classe baixa,norte,direita,budista
10887455452,classe alta,sudeste,esquerda,catolico
74502937483,classe media,sudeste,esquerda,espirita
32986025177,classe media,centro oeste,centro,budista
41767533727,classe alta,nordeste,direita,judeu
27838081203,classe alta,nordeste,centro,judeu
68786206538,classe baixa,centro oeste,esquerda,budista
26252567972,classe media,sudeste,esquerda,espirita
69191702221,classe baixa,norte,direita,catolico
54035398267,classe baixa,centro oeste,centro,judeu
73350553968,classe baixa,sudeste,esquerda,judeu
59454721231,classe media,sudeste,esquerda,espirita
53545650590,classe alta,norte,centro,budista
10139026866,classe media,sul,centro,espirita
44689077714,classe media,norte,direita,budista
77340768003,classe baixa,sudeste,centro,budista
78941741714,classe baixa,sul,direita,budista
16443338765,classe alta,centro oeste,centro,espirita
54573089149,classe alta,sudeste,centro,judeu
18388342755,classe media,centro oeste,esquerda,espirita
37387407864,classe baixa,sudeste,esquerda,budista
76402510475,classe alta,nordeste,centro,catolico
91112526260,classe alta,nordeste,esquerda,espirita
76335191366,classe baixa,sul,esquerda,judeu
50846136114,classe alta,norte,esquerda,espirita
25700218802,classe baixa,nordeste,centro,espirita
65136632236,classe media,nordeste,esquerda,judeu
40943615380,classe media,centro oeste,direita,judeu
62779031185,classe media,sudeste,direita,budista
69542777274,classe media,sul,esquerda,catolico
54493325149,classe baixa,sul,centro,catolico
52372289801,classe media,sul,centro,budista
45773960764,classe media,centro oeste,centro,judeu
88052025179,classe media,norte,centro,catolico
11210977725,classe alta,sul,esquerda,espirita
60622091618,classe media,nordeste,centro,catolico
65361025912,classe alta,sudeste,esquerda,budista
19866770748,classe alta,nordeste,esquerda,budista
45421921060,classe alta,nordeste,esquerda,catolico
70800626474,classe baixa,centro oeste,direita,budista
49805467757,classe alta,centro oeste,centro,espirita
98474757289,classe alta,nordeste,esquerda,budista
63317527084,classe baixa,nordeste,direita,catolico
83786714707,classe alta,sul,esquerda,espirita
47693055132,classe media,nordeste,centro,judeu
58898018507,classe media,norte,esquerda,espirita
47778454544,classe media,sul,centro,budista
90340145772,classe media,nordeste,centro,judeu
50623069001,classe baixa,nordeste,direita,judeu
39179669409,classe alta,norte,esquerda,espirita
83681644472,classe alta,sul,direita,espirita
55664011825,classe alta,norte,direita,budista
49569481476,classe baixa,norte,esquerda,espirita
11616944561,classe alta,centro oeste,direita,espirita
51070221895,classe media,sudeste,centro,espirita
72213697193,classe media,sudeste,direita,espirita
19608037614,classe alta,sudeste,esquerda,espirita
93714194918,classe baixa,centro oeste,centro,espirita
92514115040,classe baixa,sul,centro,budista
29352657391,classe baixa,sul,direita,espirita
12801978573,classe baixa,sul,centro,catolico
25501313526,classe baixa,centro oeste,centro,judeu
62565629340,classe baixa,nordeste,centro,budista
40408035780,classe alta,nordeste,direita,budista
94953787326,classe media,nordeste,esquerda,catolico
66871778773,classe alta,nordeste,centro,espirita
61763071643,classe media,norte,centro,catolico
99068903363,classe baixa,sudeste,esquerda,judeu
28692138886,classe media,sudeste,direita,budista
85965006761,classe media,nordeste,esquerda,judeu
61926872118,classe baixa,norte,centro,budista
88851429852,classe media,sudeste,esquerda,catolico
86927798184,classe baixa,norte,esquerda,catolico
59575908694,classe media,nordeste,direita,judeu
59939526563,classe baixa,norte,direita,judeu
67013088064,classe alta,centro oeste,esquerda,judeu
33395942995,classe baixa,sudeste,esquerda,espirita
45469039965,classe baixa,nordeste,centro,budista
11676075919,classe baixa,centro oeste,centro,espirita
53357132308,classe alta,nordeste,esquerda,espirita
27678205425,classe alta,sul,centro,catolico
53010515335,classe alta,norte,centro,judeu
22006018466,classe media,norte,esquerda,espirita
68911545132,classe media,norte,esquerda,espirita
83821703439,classe media,norte,centro,espirita
27214109177,classe media,nordeste,direita,budista
19288867834,classe baixa,sudeste,esquerda,budista
68139003153,classe media,nordeste,esquerda,judeu
90397386289,classe media,sudeste,esquerda,judeu
26717425431,classe media,norte,direita,catolico
46246528699,classe alta,nordeste,esquerda,espirita
80097507178,classe baixa,sul,esquerda,judeu
43442727134,classe media,norte,centro,catolico
17514178852,classe media,sul,esquerda,budista
27081866564,classe alta,sul,direita,budista
50474694709,classe media,nordeste,centro,catolico
43195529423,classe baixa,sul,direita,budista
94965162311,classe media,nordeste,direita,catolico
55564261250,classe baixa,sul,centro,espirita
52398085729,classe alta,sudeste,direita,judeu
44743118021,classe alta,centro oeste,centro,espirita
11567022509,classe media,centro oeste,direita,judeu
99422392808,classe alta,sudeste,esquerda,judeu
20815355192,classe alta,sul,direita,budista
92453202381,classe alta,sudeste,centro,espirita
90324670448,classe baixa,sudeste,centro,budista
14837316898,classe media,sul,direita,espirita
41823171479,classe alta,centro oeste,centro,espirita
95506871043,classe alta,centro oeste,direita,espirita
88965713746,classe alta,sul,centro,catolico
41874550085,classe baixa,sudeste,direita,judeu
52608011114,classe media,sudeste,esquerda,catolico
41751250688,classe baixa,sul,direita,catolico
14866285485,classe alta,nordeste,centro,judeu
95751830570,classe media,sudeste,direita,budista
53007831323,classe media,sul,centro,budista
48659207304,classe media,norte,esquerda,espirita
39301513211,classe media,centro oeste,direita,judeu
31649203710,classe media,centro oeste,esquerda,catolico
81990908555,classe baixa,sudeste,centro,catolico
89556727964,classe baixa,sul,direita,espirita
48507904431,classe baixa,norte,direita,catolico
88915123888,classe alta,sul,centro,catolico
93072252521,classe media,sudeste,centro,espirita
65408393355,classe alta,centro oeste,esquerda,budista
20951834543,classe alta,nordeste,centro,catolico
61518114747,classe baixa,norte,direita,judeu
52161383210,classe baixa,norte,centro,espirita
35073530346,classe media,sudeste,direita,judeu
55352578115,classe baixa,norte,esquerda,catolico
43797263915,classe alta,norte,direita,catolico
64257749492,classe media,norte,centro,espirita
29162092679,classe baixa,sudeste,direita,judeu
53231903971,classe media,sul,centro,espirita
65302363111,classe alta,sudeste,esquerda,judeu
12647321544,classe baixa,sudeste,centro,espirita
92679785922,classe media,sudeste,direita,budista
87953563619,classe baixa,sul,esquerda,budista
77194017782,classe baixa,sul,centro,judeu
58078385942,classe baixa,nordeste,direita,budista
19445799082,classe media,sul,centro,judeu
65460286766,classe baixa,sul,direita,espirita
90263768439,classe media,sul,esquerda,judeu
28387197376,classe baixa,norte,centro,budista
26001979046,classe baixa,sudeste,direita,budista
50652961147,classe baixa,sul,direita,judeu
83208646968,classe media,centro oeste,centro,catolico
10821624362,classe alta,nordeste,centro,budista
89502325526,classe baixa,centro oeste,centro,budista
68594524433,classe alta,sul,esquerda,espirita
22627893864,classe baixa,sudeste,esquerda,judeu
49614956687,classe alta,sul,esquerda,judeu
30654806445,classe baixa,norte,direita,judeu
94990728142,classe baixa,norte,centro,catolico
30757431949,classe media,norte,centro,catolico
61755556608,classe media,sul,direita,judeu
70618498425,classe alta,sul,direita,budista
29635210395,classe alta,centro oeste,centro,catolico
10518500524,classe alta,norte,centro,espirita
91105681160,classe alta,sudeste,centro,judeu
70889792333,classe media,nordeste,esquerda,espirita
24636762941,classe baixa,centro oeste,centro,espirita
10289192823,classe alta,centro oeste,esquerda,espirita
31879966146,classe baixa,sul,direita,espirita
96649607696,classe media,norte,direita,budista
76018295200,classe baixa,sudeste,direita,espirita
46817414360,classe baixa,norte,esquerda,budista
12438820593,classe baixa,nordeste,direita,espirita
75026498667,classe media,sudeste,direita,catolico
38862695731,classe media,sudeste,direita,espirita
46005594390,classe alta,nordeste,esquerda,catolico
17836635886,classe alta,sudeste,centro,judeu
26236156063,classe alta,norte,centro,catolico
87513784002,classe alta,sudeste,centro,espirita
63356857754,classe media,sudeste,direita,budista
37884017595,classe alta,sudeste,esquerda,catolico
84713988609,classe alta,sudeste,centro,catolico
59552661129,classe media,norte,esquerda,budista
16211533671,classe baixa,nordeste,esquerda,catolico
78447243319,classe media,sul,direita,catolico
15524604970,classe media,sul,centro,espirita
36344848174,classe alta,sul,direita,judeu
46423821633,classe baixa,nordeste,esquerda,judeu
28825781169,classe alta,centro oeste,esquerda,budista
99395914859,classe baixa,norte,direita,budista
74946259406,classe baixa,nordeste,direita,catolico
92020201109,classe media,norte,direita,catolico
92861225082,classe alta,nordeste,centro,judeu
32021868181,classe media,sul,direita,catolico
79935835530,classe baixa,norte,esquerda,judeu
35465740510,classe baixa,sul,esquerda,espirita
58555435055,classe alta,centro oeste,centro,budista
84984198637,classe media,sul,esquerda,budista
19664316727,classe baixa,norte,centro,judeu
88182610976,classe baixa,sudeste,centro,espirita
12178489174,classe alta,nordeste,direita,budista
67138474997,classe media,norte,esquerda,catolico
59460188386,classe media,sul,centro,budista
61412476885,classe media,norte,esquerda,budista
45046009147,classe media,sul,direita,espirita
35248802812,classe baixa,sudeste,esquerda,catolico
67445878445,classe media,sudeste,esquerda,budista
23115685474,classe media,sul,centro,budista
29412601804,classe alta,nordeste,esquerda,catolico
74621445592,classe alta,sul,centro,budista
57307895286,classe media,centro oeste,centro,espirita
73322277430,classe baixa,sul,centro,judeu
57541589770,classe baixa,nordeste,esquerda,judeu
90620501076,classe media,norte,centro,judeu
23509745239,classe media,centro oeste,centro,catolico
57117556588,classe baixa,sudeste,esquerda,judeu
90859571897,classe media,sul,centro,judeu
96380398405,classe alta,centro oeste,centro,judeu
95929768738,classe baixa,norte,esquerda,budista
83042019174,classe media,nordeste,centro,judeu
25255244592,classe media,sudeste,esquerda,catolico
36735670454,classe media,centro oeste,esquerda,budista
73010832114,classe alta,sul,direita,budista
37239538216,classe alta,sudeste,direita,judeu
11072147462,classe baixa,sul,centro,espirita
65974921652,classe media,centro oeste,esquerda,catolico
86379986805,classe media,centro oeste,centro,budista
85258318511,classe media,sudeste,esquerda,catolico
17249964793,classe alta,sudeste,centro,budista
81808412767,classe media,norte,centro,espirita
27412443932,classe media,sul,esquerda,catolico
85881091980,classe baixa,sudeste,centro,budista
11841436790,classe alta,nordeste,direita,espirita
12641244053,classe baixa,sudeste,centro,catolico
35934935969,classe alta,centro oeste,esquerda,catolico
92225280695,classe media,norte,centro,budista
95425780647,classe alta,nordeste,direita,espirita
76582950842,classe alta,nordeste,esquerda,espirita
70993610960,classe alta,centro oeste,esquerda,catolico
75994313748,classe media,norte,esquerda,judeu
50937400379,classe alta,sudeste,direita,judeu
53095756562,classe media,sul,direita,espirita
80595298113,classe baixa,centro oeste,esquerda,budista
33219924203,classe alta,sul,centro,catolico
84918870897,classe media,sudeste,esquerda,catolico
17049699921,classe alta,sul,direita,judeu
15774713764,classe baixa,sudeste,direita,judeu
66562136066,classe baixa,sul,direita,judeu
75180862467,classe alta,nordeste,esquerda,catolico
40970417993,classe media,centro oeste,esquerda,catolico
57252525549,classe alta,centro oeste,direita,judeu
20076262252,classe baixa,sudeste,centro,budista
79421044400,classe alta,nordeste,direita,budista
58304054770,classe baixa,sul,centro,catolico
14497761249,classe media,sudeste,direita,budista
57380139912,classe alta,centro oeste,esquerda,catolico
79128888089,classe alta,nordeste,direita,budista
18259076443,classe baixa,sul,esquerda,catolico
90030934876,classe media,sudeste,centro,catolico
86830399335,classe alta,sul,centro,catolico
88235931767,classe baixa,sul,esquerda,catolico
90314811532,classe alta,centro oeste,esquerda,espirita
98988265826,classe baixa,sul,direita,espirita
50419558301,classe media,nordeste,direita,judeu
92502349916,classe alta,norte,direita,espirita
12410975111,classe alta,sul,direita,judeu
89834041434,classe media,sul,esquerda,catolico
58674844051,classe alta,centro oeste,centro,budista
11510516199,classe media,norte,esquerda,espirita
17892788293,classe media,sudeste,centro,judeu
36881567394,classe baixa,nordeste,direita,catolico
58490538522,classe alta,norte,esquerda,judeu
66564945910,classe baixa,nordeste,centro,espirita
52836762718,classe baixa,norte,centro,budista
54138274533,classe alta,nordeste,esquerda,espirita
96109075535,classe alta,sul,esquerda,judeu
90646617692,classe media,nordeste,centro,catolico
97635326869,classe baixa,sul,esquerda,catolico
76826544449,classe alta,sudeste,esquerda,judeu
64364463040,classe baixa,centro oeste,centro,judeu
57145359554,classe media,norte,direita,catolico
80674293503,classe baixa,centro oeste,centro,judeu
68615534012,classe media,nordeste,direita,catolico
99895548356,classe media,sudeste,centro,espirita
42790507172,classe media,sul,direita,catolico
70575715782,classe media,sul,centro,espirita
15665421238,classe media,centro oeste,centro,judeu
83233422637,classe media,norte,esquerda,judeu
48880092582,classe alta,sudeste,direita,catolico
99683002815,classe media,sudeste,esquerda,budista
35813732473,classe media,sudeste,esquerda,judeu
25590669860,classe baixa,norte,direita,espirita
29456618002,classe baixa,centro oeste,centro,budista
86426297369,classe alta,sul,centro,budista
57967953370,classe alta,centro oeste,direita,judeu
56271676712,classe baixa,sudeste,direita,judeu
90888530280,classe baixa,nordeste,direita,espirita
17259814717,classe baixa,centro oeste,direita,budista
14494412099,classe baixa,sudeste,esquerda,catolico
73005607987,classe media,nordeste,centro,catolico
62877285466,classe media,nordeste,centro,catolico
16541113027,classe alta,nordeste,esquerda,catolico
25273488075,classe alta,norte,direita,budista
69413752717,classe alta,sudeste,esquerda,budista
19276019651,classe baixa,norte,centro,catolico
66452596563,classe baixa,sul,esquerda,judeu
57664087686,classe baixa,nordeste,centro,catolico
45126159157,classe alta,centro oeste,esquerda,espirita
46951632820,classe alta,centro oeste,direita,catolico
64201706003,classe baixa,centro oeste,centro,judeu
93349960058,classe media,nordeste,centro,judeu
93112298577,classe alta,norte,esquerda,catolico
25158668533,classe media,nordeste,esquerda,judeu
40967818364,classe alta,centro oeste,direita,judeu
98899461609,classe alta,sul,direita,espirita
80434489445,classe baixa,nordeste,direita,budista
74674522154,classe media,norte,esquerda,catolico
99232621126,classe alta,norte,direita,budista
42602790756,classe baixa,centro oeste,esquerda,espirita
56629085750,classe media,nordeste,esquerda,catolico
95342152884,classe baixa,nordeste,direita,judeu
93510441786,classe alta,sudeste,esquerda,judeu
74360543374,classe alta,nordeste,direita,judeu
64282774875,classe alta,norte,esquerda,budista
65194879332,classe baixa,norte,centro,budista
85543703812,classe media,sudeste,esquerda,budista
97286148562,classe alta,centro oeste,centro,espirita
78122067214,classe baixa,nordeste,direita,catolico
23210365891,classe alta,sul,direita,budista
28042028004,classe baixa,norte,centro,budista
31152129073,classe alta,sudeste,centro,catolico
53354294576,classe alta,nordeste,centro,budista
15344642208,classe baixa,nordeste,centro,catolico
13731260499,classe baixa,sudeste,esquerda,judeu
97359860790,classe alta,norte,centro,catolico
19789245213,classe alta,norte,direita,espirita
32903948565,classe alta,nordeste,esquerda,judeu
81586955019,classe media,sudeste,centro,budista
22642451127,classe alta,nordeste,esquerda,catolico
79371619473,classe alta,sul,direita,judeu
45566041792,classe alta,nordeste,centro,budista
50105373759,classe alta,nordeste,esquerda,catolico
33940749909,classe baixa,norte,centro,catolico
42379524230,classe media,sul,direita,espirita
94852907129,classe media,sudeste,esquerda,budista
76563606105,classe baixa,sudeste,direita,espirita
26699107605,classe baixa,norte,centro,budista
18714800210,classe alta,centro oeste,esquerda,budista
58385915115,classe baixa,sul,direita,budista
45107377337,classe alta,centro oeste,direita,budista
15065597683,classe alta,norte,centro,espirita
53936699909,classe media,norte,centro,catolico
47053493849,classe alta,sudeste,esquerda,budista
15540770958,classe media,norte,centro,espirita
13323912645,classe media,nordeste,centro,budista
35653592716,classe media,norte,esquerda,budista
90036666157,classe media,sul,esquerda,espirita
63837531889,classe media,sudeste,direita,espirita
82640788386,classe media,centro oeste,direita,catolico
99942421258,classe baixa,sudeste,esquerda,budista
30563584358,classe baixa,centro oeste,centro,espirita
47111111059,classe baixa,sudeste,direita,catolico
14153031154,classe baixa,norte,esquerda,budista
81274940350,classe alta,nordeste,direita,budista
21825591770,classe alta,nordeste,esquerda,espirita
34212841808,classe alta,nordeste,direita,espirita
44405867415,classe media,norte,esquerda,budista
83094233357,classe media,centro oeste,direita,judeu
65917669363,classe alta,norte,centro,budista
99328249760,classe media,sudeste,direita,judeu
48343472740,classe baixa,sul,centro,judeu
49867713152,classe media,centro oeste,esquerda,judeu
64637759179,classe media,nordeste,centro,judeu
58810209621,classe alta,nordeste,direita,budista
52722157519,classe baixa,norte,esquerda,judeu
76919583373,classe baixa,sudeste,direita,catolico
23073701413,classe baixa,sudeste,direita,espirita
91557169234,classe alta,centro oeste,centro,judeu
87192395263,classe alta,centro oeste,direita,budista
48579840802,classe media,sudeste,direita,budista
86486159006,classe baixa,nordeste,centro,espirita
42111756785,classe baixa,centro oeste,direita,budista
30750395861,classe media,sul,centro,espirita
92685881670,classe media,nordeste,centro,espirita
20983827273,classe baixa,nordeste,esquerda,budista
84147778410,classe media,centro oeste,centro,judeu
12018555366,classe media,norte,direita,judeu
95110789647,classe baixa,sul,esquerda,espirita
27541104432,classe media,centro oeste,centro,judeu
93722364438,classe alta,nordeste,centro,catolico
46337906419,classe alta,sudeste,centro,budista
60713403774,classe baixa,norte,direita,espirita
80452465185,classe media,norte,direita,judeu
89330258365,classe media,nordeste,esquerda,judeu
11214303812,classe media,nordeste,direita,catolico
66963044844,classe alta,norte,esquerda,catolico
51307439257,classe alta,norte,direita,catolico
62238417655,classe media,sul,direita,catolico
56659905005,classe media,norte,esquerda,espirita
31926688210,classe media,norte,esquerda,catolico
56821381366,classe baixa,sul,direita,judeu
52915071411,classe baixa,sudeste,direita,judeu
